1/19/26,Purchase Price,Live Date,Website,Niche,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Total,Count
Purchased Domain,$11.28,4/14/2025,playarcadewars.com,Arcade Gaming,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$48.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$48.00,9
Purchased Domain,$11.28,5/7/2025,verdantnestgarden.com,"Gardening, Plants",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$48.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$48.00,9
Purchased Domain,$11.28,25/2/2025,greenleafyard.com,Outdoor and Gardens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$17.50,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$47.50,11
Purchased Domain,$11.28,5/22/2025,rusticgardenhome.com,"Gardening, Plants, Landscaping",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$28.00,$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$46.00,9
,,5/7/2025,wanderlusttravelling.com,Travel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$28.00,$0.00,$18.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$46.00,9
Purchased Domain,$11.28,4/14/2025,naturegroveabode.com,Gardening,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$16.00,$0.00,$0.00,$0.00,$30.00,$0.00,$0.00,$70.00,$0.00,,,,,,,,,,,,$116.00,9
Purchased Domain,$10.00,13/1/2025,acrylicgross.com,"Art Supplies, Crafts, DIY Projects",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$45.00,13
Expired - DR Boosting,$10.00,13/1/2025,obijuanshinobi.com,"Workflow Tools, Tech, Gadgets",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$45.00,12
Purchased Domain,$11.28,4/8/2025,ashenaletube.net,Gaming,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$15.00,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$45.00,10
Bought - EMD,$11.28,1/28/2025,yutubestudio.com,"Social Media, Content Creation",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$45.00,9
Bought - 1Authority,$11.01,5/24/2025,wpfbevents.com,"Milestone Celebrations, Occasions News, Birthday Parties",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$36.00,$42.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$78.50,8
,,5/23/2025,proathletezone.net,Sports,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$45.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$45.00,6
,,,dress-for-wedding.com,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$45.00,$0.00,$30.00,$0.00,,,,,,,,,,,,$75.00,4
Purchased Domain,$11.28,25/2/2025,pixelborn.net,"Broadcast, Digital & Print Media",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$42.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10.00,,,,,,,,,,,,$52.00,10
Purchased Domain,$11.28,4/21/2025,prettypoliteladies.com,Relationships,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$42.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$42.00,10
Bought - 1Authority,$11.01,6/4/2025,soveriegnmindmagazine.com,Geopolitics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$75.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$75.00,7
Bought - 1Authority,$11.01,5/29/2025,applepodcastconnect.com,"Messaging Apps, Music Apps, Virtual Reality Apps",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$33.50,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$68.50,8
,,5/23/2205,stealthgamble.com,Gambling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$42.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$42.00,7
1 authority expired,$11.01,8/14/2025,incheonairport-blog.com,"Entrepreneur Spotlights, Healthy Recipes, Latest Trends",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$42.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$42.00,6
1authorityexpired,$11.28,07/29/2025,tosehnews.com,"Women's Health, Finance Tips, Beauty",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$42.00,$0.00,$0.00,$56.00,$0.00,,,,,,,,,,,,$98.00,5
1AuthoritylinkswithKW,$11.28,7/29/2025,sheaxero.com,"Tablets, Mobile Apps, MarTech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$42.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$42.00,4
Bourght - Brandedfresh,$11.28,5/29/2025,moneylaunchnow.com,"Mobile Apps, Gadgets, 3D Printing",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$15.00,$26.25,$0.00,$0.00,$0.00,$42.00,$0.00,,,,,,,,,,,,$83.25,7
,,3/10/2025,mindlabdesigns.com,Self Improvement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$41.25,$0.00,$0.00,$0.00,$45.00,$0.00,,,,,,,,,,,,$86.25,6
Bought - 1Authority,$11.01,5/24/2025,theroad4youth.org,"Lifestyle News, Personal Finance, Fashion",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$22.50,$42.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$65.00,8
Purchased Domain,$10.00,20/2/2025,teskeys.net,"Gardening, Outdoor Furniture",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,12
Expired - DR Boosting,$10.00,13/1/2025,virtualbuilder3d.com,"3D Modeling, Virtual Design Solutions",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,12
Purchased Domain,$10.00,10/3/2025,gardenrooted.com,"Gardening, Plants",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,11
Purchased Domain,$11.28,4/8/2025,iwilldominate.net,Self Improvement,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,9
Purchased Domain,$11.28,4/14/2025,playmastersclub.net,"Indie & Retro Gaming, Esports",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,9
Purchased Domain,$11.28,5/7/2025,clauurojassvip.com,Fashion,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$0.00,$0.00,,,,,,,,,,,,$90.00,9
Purchased Domain,$11.28,5/7/2025,greenflourishhome.com,"Gardening, Plants, Landscaping",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,9
Purchased Domain,$11.28,5/7/2025,serenegardencottage.com,"Gardening, Plants",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,9
Purchased Domain,$11.28,5/7/2025,veracityinsights.com,Digital Marketing,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,9
Purchased Domain,$11.28,5/7/2025,neutralvoice.net,Politics,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,9
,,5/13/2025,gardenward.com,Gardening,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,7
1AuthoritylinkswithKW,$11.28,7/29/2025,saraniresort.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,$25.00,$40.00,,,,,,,,,,,,$105.00,6
1AuthoritylinkswithKW,$11.28,7/29/2025,trevorball.com,"AI, Phones, Biotech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,5
,,,michaelleegogin.com,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$40.00,4
,,,glide-technologies.com,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$40.00,$70.00,$0.00,,,,,,,,,,,,$110.00,3
Purchased Domain,$11.28,4/8/2025,naomih666.net,"Tech, AI, Digital World",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$39.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$39.00,9
,,8/14/2025,danni2427.net,Business,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$39.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$39.00,6
1Authority,$11.28,6/10/2025,dwain-chambers.com,"Swimming, Cycling, Golf",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$15.00,$24.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$39.00,6
1Authority,$11.28,7/29/2025,teamphilips.com,"Martial Arts, Boxing, Wrestling",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$15.00,$24.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$39.00,6
1Authority,$11.10,5/26/2025,lamilagrosairreverente.com,"Parenting, Cooking",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$38.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$38.50,7
1Authority,$11.28,5/24/2025,seemydoha.com,"Solo Travel, Family Travel, Group Travel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$38.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$38.50,7
Purchased Domain,$11.28,5/7/2025,sturnballs.net,Fantasy Sports,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$37.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$37.50,9
,,5/13/2025,tonicmovies.net,Entertainment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$37.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$37.50,7
Purchased Domain,$11.28,25/2/2025,actiontorque.net,Sports,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$36.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$36.00,11
Expired DR,$11.28,2/19/2025,songwritingidiots.com,"Songwriting Tips, Music News, Artist Resources",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$15.00,$0.00,$0.00,$21.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$36.00,10
Purchased Domain,$11.28,4/21/2025,sandtris.net,Gaming,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$36.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$85.08,,,,,,,,,,,,$121.08,9
Bought - 1Authority,$11.01,5/26/2025,oakreative.com,Marketing Analytics,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$65.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$65.00,7
1Authority,$11.01,5/26/2205,erealmedia.com,Business,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$36.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$36.00,7
Purchased Domain,$10.00,23/1/2025,novatechbeacon.com,Technology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$15.00,$0.00,,,,,,,,,,,,$50.00,12
Expired - DR Boosting,10.99,4/14/2025,iamikram.com,"Family, Parenting, Travel",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,10
Purchased Domain,$11.28,5/22/2025,karomi.net,Marketing,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,9
Purchased Domain,$11.28,5/7/2025,pixxarmom.net,"Mom Blog, Parenting",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,9
Purchased Domain,$11.28,4/8/2025,sprucestonepeak.com,Outdoor Living,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,9
Bought - 1Authority,$11.01,5/24/2025,prettydecoprints.com,"Printmaking, Art Collecting, Art News",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$28.00,$35.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$63.00,9
1authorityexpired,$11.28,07/29/2025,ouis-guesthouse.com,Home,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$15.00,$20.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,6
1Authority,$11.10,5/26/2025,auteluav.com,"Tech, Web Development",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$35.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,5
,,04/14/2025,virtualarcadeworld.com,Gaming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$35.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,5
1authorityexpired,$11.28,7/29/2025,steverudden.com,"Coding, Tech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$35.00,$0.00,$0.00,$40.00,$0.00,,,,,,,,,,,,$75.00,5
,,,patriciaraymond.net,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$35.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$35.00,4
Purchased Domain,$11.28,5/13/2025,absolutbleu.com,Sports,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$32.50,$0.00,$0.00,$0.00,$0.00,$0.00,$20.00,$0.00,,,,,,,,,,,,$52.50,8
Expired - DR Boosting,10.99,20/2/2025,508muralfest.com,"Art, Entertainment, Lifestyle",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$32.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$49.00,$0.00,,,,,,,,,,,,$81.00,11
Expired DR,$11.28,20/2/2025,xirocode.com,"Tech Gadgets, Web & Software Dev, AR & VR",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$32.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$32.00,11
,,8/9/2024,alignlast.net,"Ortho Care, Wellness, Beauty",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$32.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$32.00,11
Expired - DR Boosting,$10.00,20/12/2024,mpgproworkstation.com,Sports,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,14
Purchased Domain,$10.00,28/1/2025,fzetmovies.com,"Movies, TV",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,12
,,2/19/2025,thinkyah.org,Art,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,10
Purchased Domain,$11.28,4/14/2025,esportslegend.net,Gaming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,9
Purchased Domain,$11.28,4/30/2025,sourceperspective.net,"Influencers, Social Media, Marketing",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,9
Purchased Domain,$11.28,3/7/2025,anonibs.net,Gambling,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,9
Bought - 1Authority,$11.01,5/26/2025,vibranthomehealthcare.com,"Health, Healthcare, Kids",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$42.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$42.00,8
Expired DR,$11.28,5/13/2025,cleangofrance.com,"Beauty & Costmetics, Mindfulness, Sustainable Living",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,7
Bourght - Brandedfresh,$11.28,5/24/2025,nextgengamingco.com,Gaming,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,7
Expired - DR Boosting,$10.99,5/13/2025,reviewmeans.com,"Business, Finance",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,7
1AuthoritylinkswithKW,$11.28,7/29/2025,remyreport.com,"Leadership, Crypto, Global Destination",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$35.00,$0.00,,,,,,,,,,,,$65.00,6
1Authority,$11.10,5/26/2025,tritotriumph.com,"Kids, Family",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,6
1authorityexpired,$11.28,7/29/2025,myworstwebsite.com,"Hardware, Robotics, PaaS",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,6
1Authority,$11.01,5/29/2025,parrforthecourse.com,"Football, Basketball, Baseball",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,$30.00,5
